danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.755,0.74,1,-4.951,1,0.0407,0.0225,0.00139,0.124,0.609,127.98,audio_features,14fmbvjYLqRZEXz1VZdM2M,spotify:track:14fmbvjYLqRZEXz1VZdM2M,https://api.spotify.com/v1/tracks/14fmbvjYLqRZEXz1VZdM2M,https://api.spotify.com/v1/audio-analysis/14fmbvjYLqRZEXz1VZdM2M,215760,4
0.668,0.758,7,-3.589,1,0.158,0.0338,0,0.204,0.531,135.958,audio_features,4yOn1TEcfsKHUJCL2h1r8I,spotify:track:4yOn1TEcfsKHUJCL2h1r8I,https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I,https://api.spotify.com/v1/audio-analysis/4yOn1TEcfsKHUJCL2h1r8I,229507,4
0.727,0.91,0,-4.516,1,0.0466,0.00211,0.00000101,0.165,0.747,127.088,audio_features,7fmpKF0rLGPnP7kcQ5ZMm7,spotify:track:7fmpKF0rLGPnP7kcQ5ZMm7,https://api.spotify.com/v1/tracks/7fmpKF0rLGPnP7kcQ5ZMm7,https://api.spotify.com/v1/audio-analysis/7fmpKF0rLGPnP7kcQ5ZMm7,207440,4
0.66,0.9,7,-5.02,1,0.14,0.0403,0,0.219,0.591,85.51,audio_features,28GUjBGqZVcAV4PHSYzkj2,spotify:track:28GUjBGqZVcAV4PHSYzkj2,https://api.spotify.com/v1/tracks/28GUjBGqZVcAV4PHSYzkj2,https://api.spotify.com/v1/audio-analysis/28GUjBGqZVcAV4PHSYzkj2,213253,4
0.413,0.856,0,-4.078,0,0.0808,0.0289,0.00571,0.343,0.35,128.017,audio_features,07nH4ifBxUB4lZcsf44Brn,spotify:track:07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/tracks/07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/audio-analysis/07nH4ifBxUB4lZcsf44Brn,212960,4
0.472,0.824,7,-7.937,0,0.0554,0.0189,0.0000023,0.107,0.301,140.027,audio_features,75hLNJfiXV5k2YGrbGEW51,spotify:track:75hLNJfiXV5k2YGrbGEW51,https://api.spotify.com/v1/tracks/75hLNJfiXV5k2YGrbGEW51,https://api.spotify.com/v1/audio-analysis/75hLNJfiXV5k2YGrbGEW51,185080,4
0.596,0.85,9,-5.402,1,0.0452,0.0728,0,0.26,0.386,119.985,audio_features,7D49Iig0avHre9RFSUMkd2,spotify:track:7D49Iig0avHre9RFSUMkd2,https://api.spotify.com/v1/tracks/7D49Iig0avHre9RFSUMkd2,https://api.spotify.com/v1/audio-analysis/7D49Iig0avHre9RFSUMkd2,234547,4
0.53,0.95,0,-3.526,1,0.0503,0.284,0.0000101,0.211,0.733,146.035,audio_features,5XRHGXut00SrJUFmcn2lQF,spotify:track:5XRHGXut00SrJUFmcn2lQF,https://api.spotify.com/v1/tracks/5XRHGXut00SrJUFmcn2lQF,https://api.spotify.com/v1/audio-analysis/5XRHGXut00SrJUFmcn2lQF,238000,4
0.515,0.767,2,-6.199,1,0.0352,0.098,0,0.121,0.38,148.024,audio_features,1NhPKVLsHhFUHIOZ32QnS2,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,https://api.spotify.com/v1/tracks/1NhPKVLsHhFUHIOZ32QnS2,https://api.spotify.com/v1/audio-analysis/1NhPKVLsHhFUHIOZ32QnS2,224693,4
0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,audio_features,5Db9VIdDsN5yu3Eu7CT0i4,spotify:track:5Db9VIdDsN5yu3Eu7CT0i4,https://api.spotify.com/v1/tracks/5Db9VIdDsN5yu3Eu7CT0i4,https://api.spotify.com/v1/audio-analysis/5Db9VIdDsN5yu3Eu7CT0i4,172724,4
0.628,0.867,9,-3.555,1,0.0913,0.0108,0,0.308,0.597,78.043,audio_features,02ILwrgX3DDx9mclP2EI41,spotify:track:02ILwrgX3DDx9mclP2EI41,https://api.spotify.com/v1/tracks/02ILwrgX3DDx9mclP2EI41,https://api.spotify.com/v1/audio-analysis/02ILwrgX3DDx9mclP2EI41,227311,4
0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,206413,4
